feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,labels
-1.029906416630939,-0.22244060329559395,0.5038918117217194,-0.90539991150249,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,0,1,1,0,1,0,2,6,3,0
-0.8415584612703921,-0.3564425381381542,-1.5387920840132177,-0.10547746261255116,2.9813425527064896,-0.4114531064930479,-0.25194037067217256,0,1,1,0,1,0,2,6,3,0
-1.5007763050323066,-0.2648088621061093,-1.4186342077935157,0.3993279662985753,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,7,2,1,0,1,1,2,6,3,0
-0.2765145951887509,-0.40242359421158175,1.8256284501384432,-0.8976336741346266,6.209245453026744,-0.4114531064930479,-0.25194037067217256,0,1,1,0,1,0,0,5,3,0
-0.9357324389506656,-0.2677647871394011,1.5853126976990388,0.05373040342865025,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,0,2,1,0,1,0,0,4,3,0
-1.59495028271258,-0.4221297611001935,-1.1783184553541108,0.5119384081325958,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,7,2,1,0,1,1,2,8,3,0
1.6069649584167194,-0.4438065446776665,-0.5775290742556002,0.04596416606078677,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,5,1,1,0,0,0,0,1,3,0
-1.3124283496717597,-0.27926005115775804,0.3837339355020172,-0.5054386870575206,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,9,1,1,0,1,0,2,8,3,0
-0.9357324389506656,-0.3827174273229699,-1.6589499602329196,-0.5947504167879507,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,4,1,2,0,1,0,0,3,3,0
-0.464862550549298,0.14278035637334474,0.5038918117217194,-0.2841009220734113,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,1,1,1,0,1,1,2,8,3,0
-0.8415584612703921,0.3336017390780689,0.14341818306261284,3.393212471609948,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,7,2,3,0,0,0,0,9,3,1
-0.653210505909845,-0.15018465803735068,1.705470573918741,-0.8937505554506948,1.6901813925783875,-0.4114531064930479,-0.25194037067217256,1,1,0,0,1,0,2,8,3,0
-0.464862550549298,-0.4474193419405787,1.5853126976990388,0.3333149486717357,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,2,1,1,0,1,0,0,4,3,0
0.3827032485731636,-0.4474193419405787,0.5038918117217194,-0.7151270959898347,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,1,1,0,0,0,1,2,6,3,0
0.9477471146548048,-0.2454311313323077,0.14341818306261284,-0.6258153662594046,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,4,1,2,0,1,0,0,0,3,0
-1.029906416630939,-0.3324667017570098,1.5853126976990388,0.2711850497288278,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,4,1,2,0,0,0,0,4,3,0
-0.2765145951887509,-0.431325972314879,1.705470573918741,-0.5831010607361554,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,4,1,2,0,0,0,2,8,3,0
1.3244430253758988,0.013048091023317065,-0.5775290742556002,-0.5170880431093159,-0.2465603476137659,1.3463033171995236,0.182197529943736,4,1,2,0,1,0,0,8,0,0
-0.18234061750847744,-0.28451502899472114,-0.4573711980358981,2.0574196443374286,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,0,2,1,0,1,0,2,8,3,0
0.8535731369745312,-0.4369093862666524,-1.4186342077935157,0.09256159026796767,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,10,0,1,0,0,0,0,1,3,0
-0.2765145951887509,-0.3639965687787887,1.3449969452596344,0.39156172893071184,1.0446008125143362,-0.4114531064930479,-0.25194037067217256,9,1,1,0,1,0,2,8,3,0
-0.18234061750847744,-0.2066756697847045,0.023260306842910656,-0.6801790278344491,0.3990202324502852,-0.4114531064930479,-0.25194037067217256,7,1,1,0,0,0,2,6,3,0
0.3827032485731636,-0.39848236083385935,0.8643654403808259,2.465147106150262,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,0,1,1,0,1,0,2,8,3,1
-0.18234061750847744,-0.13639034121532242,-0.9380027029147068,-0.5209711617932475,-0.2465603476137659,-0.4114531064930479,-0.25194037067217256,4,1,2,0,0,0,0,1,3,0
-0.3706885728690245,1.0620730417270852,-1.1783184553541108,0.2517694563091691,-0.5693506376457914,0.5073741149826145,2.3528870330232787,9,1,2,0,1,0,0,1,0,0
-0.2765145951887509,0.08136280290383797,0.14341818306261284,-0.7073608586219712,1.0446008125143362,-0.4114531064930479,-0.25194037067217256,7,2,3,0,1,0,2,6,3,0
0.9477471146548048,-0.3659671854676499,0.14341818306261284,-0.4627243815342715,-0.2465603476137659,0.8569279492396601,1.050473331175553,4,1,2,0,1,1,0,9,0,0
-0.464862550549298,-0.34100604074207497,0.263576059282315,-0.5986335354718825,0.3990202324502852,-0.4114531064930479,-0.25194037067217256,4,1,2,0,0,0,0,1,3,0
-0.18234061750847744,-0.7531933648288718,1.4651548214793366,-0.6452309596790633,0.7218105224823107,-0.4114531064930479,-0.25194037067217256,1,1,1,1,1,0,2,8,3,0
-0.2765145951887509,-0.3140742793276388,1.5853126976990388,-0.4666075002182032,-0.5693506376457914,1.4761375984949976,1.9187491324073704,1,1,0,0,1,0,0,4,0,0
0.006007337852069585,-0.07464435163100544,-0.33721332181619584,0.026548572641128053,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,1,1,0,0,1,0,2,8,3,0
0.006007337852069585,-0.4007814136375307,0.14341818306261284,0.36826301682712137,0.07622994241825963,-0.4114531064930479,-0.25194037067217256,10,0,1,0,1,0,0,5,3,0
3.77296644506301,1.2670171773686478,-0.33721332181619584,-0.4782568562699984,-0.5693506376457914,0.5373358722046471,0.6163354305596446,5,1,0,0,0,0,1,9,1,1
-0.08816663982820393,0.2363846490942508,-0.4573711980358981,-0.6840621465183807,-0.5693506376457914,-0.4114531064930479,-0.25194037067217256,0,1,1,0,0,0,2,6,3,0
0.1943552932126166,-0.4165463471484202,0.8643654403808259,-0.8665687246631726,2.012971682610413,-0.4114531064930479,-0.25194037067217256,3,1,0,0,0,0,0,5,3,0
3.113748601301096,-0.1403315745930448,-1.2984763315738133,-0.12489305603220988,-0.5693506376457914,0.5872721342413678,0.6163354305596446,5,1,1,0,0,0,0,8,0,1
